"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
059383,Not Available,11,Not Available,11,79,11,Not Available,11,79,11,Not Available,11,86,11,Not Available,11,63,11,67,11,26,11,5,11,11
059384,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059385,2,11,2,11,81,11,2,11,82,11,1,11,69,11,2,11,77,11,66,11,52,11,17,11,11
059386,1,11,1,11,63,11,1,11,59,11,1,11,71,11,1,11,50,11,58,11,69,11,15,11,11
059387,2,,2,,83,,2,,78,,2,,76,,2,,77,,67,,311,,19,,
059388,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059389,2,11,2,11,83,11,2,11,79,11,2,11,79,11,2,11,75,11,66,11,64,11,22,11,11
059390,Not Available,11,Not Available,11,91,11,Not Available,11,87,11,Not Available,11,92,11,Not Available,11,95,11,83,11,30,11,13,11,11
059391,2,,1,,81,,2,,81,,1,,69,,2,,83,,66,,77,,13,,
059392,1,,1,,80,,1,,72,,1,,68,,1,,78,,65,,71,,25,,
059394,Not Available,11,Not Available,11,73,11,Not Available,11,77,11,Not Available,11,69,11,Not Available,11,78,11,82,11,18,11,15,11,11
059395,Not Available,11,Not Available,11,79,11,Not Available,11,75,11,Not Available,11,77,11,Not Available,11,73,11,71,11,18,11,13,11,11
059396,Not Available,11,Not Available,11,88,11,Not Available,11,86,11,Not Available,11,100,11,Not Available,11,79,11,72,11,14,11,25,11,11
059397,Not Available,9,Not Available,9,87,9,Not Available,9,78,9,Not Available,9,79,9,Not Available,9,64,9,75,9,7,9,14,9,9
059398,1,11,1,11,76,11,1,11,68,11,2,11,77,11,1,11,74,11,65,11,69,11,13,11,11
059399,5,11,5,11,95,11,5,11,93,11,4,11,86,11,5,11,97,11,82,11,40,11,24,11,11
059401,4,,4,,88,,4,,87,,3,,83,,3,,85,,81,,352,,21,,
059402,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059403,Not Available,9,Not Available,9,81,9,Not Available,9,78,9,Not Available,9,86,9,Not Available,9,36,9,38,9,3,9,14,9,9
059405,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059406,Not Available,11,Not Available,11,74,11,Not Available,11,72,11,Not Available,11,82,11,Not Available,11,80,11,76,11,18,11,13,11,11
059407,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059408,Not Available,11,Not Available,11,89,11,Not Available,11,84,11,Not Available,11,96,11,Not Available,11,83,11,82,11,15,11,9,11,11
059409,Not Available,11,Not Available,11,87,11,Not Available,11,82,11,Not Available,11,73,11,Not Available,11,87,11,72,11,32,11,29,11,11
059410,Not Available,11,Not Available,11,88,11,Not Available,11,93,11,Not Available,11,84,11,Not Available,11,87,11,79,11,17,11,21,11,11
059411,1,11,1,11,77,11,1,11,74,11,1,11,70,11,1,11,76,11,58,11,58,11,13,11,11
